2025-05-27 19:50:12,354 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2184
2025-05-27 19:50:12,378 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2184, MaxR=46.89, Pheno={'G_SPECIALIST': 1937, 'L_SPECIALIST': 177, 'SWITCHING_GL': 70}
2025-05-27 19:50:12,514 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2197, MaxR=46.89, Pheno={'G_SPECIALIST': 1938, 'L_SPECIALIST': 195, 'SWITCHING_GL': 64}
2025-05-27 19:50:12,653 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2219, MaxR=46.89, Pheno={'G_SPECIALIST': 1941, 'L_SPECIALIST': 218, 'SWITCHING_GL': 60}
2025-05-27 19:50:12,793 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2235, MaxR=46.89, Pheno={'G_SPECIALIST': 1941, 'L_SPECIALIST': 236, 'SWITCHING_GL': 58}
2025-05-27 19:50:12,935 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2261, MaxR=48.28, Pheno={'G_SPECIALIST': 1941, 'L_SPECIALIST': 266, 'SWITCHING_GL': 54}
2025-05-27 19:50:13,078 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=85.00: Cells=2282, MaxR=48.28, Pheno={'G_SPECIALIST': 1943, 'L_SPECIALIST': 290, 'SWITCHING_GL': 49}
2025-05-27 19:50:13,223 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=86.00: Cells=2308, MaxR=48.28, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 317, 'SWITCHING_GL': 47}
2025-05-27 19:50:13,371 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=87.00: Cells=2322, MaxR=48.28, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 332, 'SWITCHING_GL': 46}
2025-05-27 19:50:13,519 - sim.TradeoffSlope_S20_ResponsiveHG_W40_Rep3.MetricsCollector - INFO - metrics:177 - Metrics @ T=88.00: Cells=2354, MaxR=48.50, Pheno={'G_SPECIALIST': 1945, 'L_SPECIALIST': 366, 'SWITCHING_GL': 43}
