2025-05-27 19:42:22,031 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=74.00: Cells=2096, MaxR=45.00, Pheno={'G_SPECIALIST': 1930, 'L_SPECIALIST': 92, 'SWITCHING_GL': 74}
2025-05-27 19:42:22,161 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=75.00: Cells=2107, MaxR=45.00, Pheno={'G_SPECIALIST': 1932, 'L_SPECIALIST': 99, 'SWITCHING_GL': 76}
2025-05-27 19:42:22,293 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=76.00: Cells=2119, MaxR=45.00, Pheno={'G_SPECIALIST': 1934, 'L_SPECIALIST': 109, 'SWITCHING_GL': 76}
2025-05-27 19:42:22,426 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=77.00: Cells=2131, MaxR=45.03, Pheno={'G_SPECIALIST': 1939, 'L_SPECIALIST': 120, 'SWITCHING_GL': 72}
2025-05-27 19:42:22,561 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=78.00: Cells=2149, MaxR=45.30, Pheno={'G_SPECIALIST': 1941, 'L_SPECIALIST': 137, 'SWITCHING_GL': 71}
2025-05-27 19:42:22,695 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=79.00: Cells=2163, MaxR=45.30, Pheno={'G_SPECIALIST': 1941, 'L_SPECIALIST': 152, 'SWITCHING_GL': 70}
2025-05-27 19:42:22,807 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2 - INFO - simulation_engine:218 - Progress: T=80.00, Cells=2179
2025-05-27 19:42:22,831 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=80.00: Cells=2180, MaxR=46.89, Pheno={'G_SPECIALIST': 1943, 'L_SPECIALIST': 172, 'SWITCHING_GL': 65}
2025-05-27 19:42:22,966 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=81.00: Cells=2200, MaxR=46.89, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 196, 'SWITCHING_GL': 60}
2025-05-27 19:42:23,105 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=82.00: Cells=2227, MaxR=46.89, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 223, 'SWITCHING_GL': 60}
2025-05-27 19:42:23,245 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=83.00: Cells=2242, MaxR=46.89, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 242, 'SWITCHING_GL': 56}
2025-05-27 19:42:23,387 - sim.TraitDistinct_LowDistinct_W40_P0.5_Rep2.MetricsCollector - INFO - metrics:177 - Metrics @ T=84.00: Cells=2261, MaxR=46.89, Pheno={'G_SPECIALIST': 1944, 'L_SPECIALIST': 266, 'SWITCHING_GL': 51}
